Route,Segment,AM_or_PM,Distance_km,Mean_peak_travel_time_sec,Mean_peak_travel_speed_kmh,Total_peak_delay_sec,Peak_delay_source,Mean_peak_running_speed_kmh,Percent_time_delay,Level_of_service,Traffic,Condition
Obasanjo Way,Lugbe to Aco Estate,AM,3.04,175.75,66.38,13.62,Traffic signal and Congestion,73.62,7.19,A,Low,Good
Garki II,Gwarimpa to Zuba,PM,6.31,1020.19,22.29,698.22,Congestion,25.78,40.63,D,High,Fair
Zuba Link,Eagle Square to Garki Market,AM,13.25,970.32,54.31,51.32,Congestion,65.04,5.02,A,Low,Poor
Garki Area 7,Utako Market to Area 3,PM,6.18,796.12,30.59,127.62,Traffic signal and Congestion,33.74,13.82,B,Medium,Poor
Garki Area 11,Utako Market to Berger Junction,PM,14.52,1285.91,41.08,294.36,Traffic signal and Congestion,56.33,18.63,B,Medium,Good
CBD Loop,Games Village to CBD,PM,11.44,1438.49,31.26,204.3,Market activity,43.02,12.44,B,Medium,Poor
Apo Road,Utako Market to Berger Junction,AM,9.22,1030.12,33.89,260.73,Congestion,49.3,20.2,C,Medium,Poor
Asokoro Road,Aco Estate to City Gate,PM,10.57,3264.11,11.88,2403.34,Road works,27.73,42.41,D,High,Fair
Jabi Road,Wuse Market to Berger Junction,AM,7.5,731.77,35.97,357.58,Traffic signal and Congestion,51.62,32.83,C,Medium,Poor
Kaura District,Area 8 to Berger,PM,8.42,517.01,57.8,62.04,Traffic signal and Congestion,66.75,10.71,B,Low,Good
Apo Road,Herbert Macaulay to Ship House,AM,4.99,1047.79,18.43,1093.13,Traffic signal and Congestion,35.02,51.06,D,High,Fair
Maitama Drive,Zuba to Dei-Dei,AM,8.46,1214.85,27.49,331.03,Traffic signal and Congestion,42.25,21.41,C,Medium,Fair
Maitama Drive,Sars Road to Efab Estate,PM,1.55,110.94,48.95,53.2,Minor congestion,60.97,32.41,C,Medium,Good
Kaura District,Gudu to Lokogoma Junction,PM,13.76,1450.13,39.14,515.55,Traffic signal and Congestion,50.87,26.23,C,Medium,Poor
Nyanya–Mararaba,ECOWAS to Aso Drive,AM,9.28,990.59,33.01,373.9,Traffic signal and Congestion,49.89,27.4,C,Medium,Fair
Obasanjo Way,Efab Estate to Apo,PM,9.54,889.93,41.88,94.33,Traffic signal and Congestion,49.57,9.58,A,Low,Good
Zone 4 Road,Area 1 to Area 10,PM,14.23,736.25,68.92,64.89,Traffic signal and Congestion,82.12,8.1,A,Low,Good
Nyanya–Mararaba,Eagle Square to Garki Market,PM,8.36,477.52,62.58,47.63,Traffic signal and Congestion,76.72,9.07,A,Low,Good
Garki Area 8,Jabi Park to Utako Market,PM,6.79,805.53,32.55,322.8,Traffic signal and Congestion,46.26,28.61,C,Medium,Poor
Nyanya–Mararaba,Utako Market to Area 3,AM,13.72,3900.07,12.93,1106.15,Congestion,24.89,22.1,C,Medium,Poor
CBD Loop,6th Avenue to 1st Avenue,PM,6.06,378.94,57.61,56.14,Traffic signal and Congestion,72.17,12.9,B,Low,Fair
Area 3 Connector,Aco Estate to City Gate,PM,5.34,1248.86,15.89,1793.16,Congestion,31.39,58.95,E,High,Poor
Bwari Road,Wuye to Berger,PM,6.58,1933.13,12.64,2592.38,Road works,19.86,57.28,E,High,Poor
Gwarimpa Road,Wuse Market to Berger Junction,PM,2.12,402.65,21.14,354.36,Event diversion,24.26,46.81,D,High,Fair
Zuba Link,Utako Market to Area 3,AM,11.27,2951.66,15.22,3311.41,Traffic signal and Congestion,22.29,52.87,D,High,Poor
Nyanya–Mararaba,Jabi Park to Utako Market,PM,1.63,102.47,58.35,7.1,Traffic signal and Congestion,61.55,6.48,A,Low,Good
Garki II,Wuye to Berger,AM,10.97,1161.43,35.92,562.35,Traffic signal and Congestion,47.04,32.62,C,Medium,Good
CBD Loop,Kado Estate to Jabi,PM,4,292.35,49.21,2.53,Traffic signal and Congestion,55.72,0.86,A,Low,Good
Zone 4 Road,Area 3 to Area 1,PM,8.57,988.89,30.71,321.45,Congestion,46.77,24.53,C,Medium,Fair
Maitama Drive,Banex to Emab Plaza,PM,7.69,693.17,44.05,293.48,Road works,61.32,29.75,C,Medium,Fair
CBD Loop,Apo Roundabout to Gudu,PM,10.26,4908.07,8.25,5921.38,Accident,18.23,54.68,D,High,Fair
Obasanjo Way,Gwarimpa to Zuba,AM,3.16,1089.26,11.6,1603.72,Accident,15.6,59.55,E,High,Poor
Jabi Road,Games Village to CBD,PM,8.41,1007.29,34.22,74.1,Road works,38.27,6.85,A,Medium,Good
Aminu Kano Crescent,Eagle Square to Garki Market,AM,10.98,2356.37,17.56,124.7,Congestion,32.15,5.03,A,Medium,Fair
Wuye District,Games Village to CBD,PM,8.96,1658.27,21.09,1835.07,Traffic signal and Congestion,26.64,52.53,D,High,Fair
Zone 4 Road,Aco Estate to City Gate,PM,13.67,1330.04,39.83,180.97,Traffic signal and Congestion,53.58,11.98,B,Medium,Good
Aminu Kano Crescent,Area 1 to Area 10,AM,13.66,1239.26,44.22,122.6,Congestion,51.3,9,A,Low,Good
Garki II,Wuse Market to NNPC Tower,PM,9.73,812.48,46.09,32.25,Road works,61.31,3.82,A,Low,Good
Durumi Road,Aco Estate to City Gate,PM,11.72,927.17,47.01,123.56,Accident,59.46,11.76,B,Low,Good
Maitama Drive,Aco Estate to City Gate,AM,3.42,443.44,30.53,220.39,Security stop,48.04,33.2,C,Medium,Fair
Jabi Road,Area 7 to CBD,PM,10.28,1280.57,33.01,692.07,Traffic signal and Congestion,42.1,35.08,D,Medium,Fair
Zone 4 Road,Kaura to Games Village,AM,0.75,113.37,22.65,64.18,Traffic signal and Congestion,31.69,36.15,D,Medium,Poor
Airport Road,Area 8 to Berger,PM,6.91,1283.73,22.01,305.59,Minor congestion,28.18,19.23,B,Medium,Fair
Jabi Road,Eagle Square to Garki Market,PM,7.19,633.13,45.9,69.98,Traffic signal and Congestion,58.37,9.95,A,Medium,Good
Zuba Link,Herbert Macaulay to Ship House,PM,4.49,585.3,28.75,244.23,Traffic signal and Congestion,34.3,29.44,C,Medium,Poor
Maitama Drive,Durumi to Area 1,PM,10.64,1763.52,22.38,881.4,Event diversion,29.54,33.32,C,High,Fair
Kado Express,Presidential Villa to ECOWAS,PM,5.65,475.64,48.16,62.99,Accident,54.33,11.69,B,Low,Fair
Garki II,Mobolaji Bank Anthony to Apo Legislative,PM,4.65,3183.04,6.02,2879.1,Traffic signal and Congestion,9.96,47.49,D,High,Fair
Asokoro Road,ECOWAS to Aso Drive,PM,12.86,944.77,48.8,66.48,Traffic signal and Congestion,53.31,6.57,A,Low,Fair
Kubwa Expressway,Efab Estate to Apo,PM,11.51,1446.93,28.92,257.38,Traffic signal and Congestion,35.77,15.1,B,Medium,Good
Area 3 Connector,Banex to Emab Plaza,AM,3.55,249.54,49.5,18.14,Security stop,60.95,6.78,A,Low,Good
Kubwa Expressway,Berger to Central Area,PM,4.9,430.34,47.01,25.54,Traffic signal and Congestion,54.24,5.6,A,Low,Good
Kado Road,Banex to Emab Plaza,AM,8.43,1451.17,22.22,683.27,Congestion,25.46,32.01,C,Medium,Poor
Utako District,Area 1 to Apo Junction,PM,8.61,1427.58,23.66,398.12,Accident,40.21,21.81,C,Medium,Good
Nyanya–Mararaba,Wuye to Berger,AM,11.18,2162.68,20.44,1434.38,Traffic signal and Congestion,36.26,39.88,D,High,Good
Ahmadu Bello Way,Area 11 to Area 3,AM,6.4,774.62,32.93,146.43,Traffic signal and Congestion,49.34,15.9,B,Medium,Fair
Zuba Link,Area 7 to CBD,PM,5.4,419.77,49.45,47.33,Traffic signal and Congestion,61.45,10.13,B,Low,Good
Garki Area 8,Banex to Emab Plaza,AM,4.35,409.55,43.55,37.47,Congestion,58.34,8.38,A,Low,Fair
Kubwa Expressway,Area 11 to Area 3,PM,2.74,256.85,39.54,129.75,Traffic signal and Congestion,43,33.56,C,Medium,Good
Durumi Road,Apo Roundabout to Gudu,AM,9.42,1185.84,30.32,345.08,Traffic signal and Congestion,35.73,22.54,C,Medium,Poor
Moshood Abiola Way,Area 1 to Apo Junction,AM,1.22,82.66,54.51,9.94,Traffic signal and Congestion,68.77,10.73,B,Low,Fair
Nyanya–Mararaba,Durumi to Area 1,AM,10.32,3323.04,12.47,3263.74,Traffic signal and Congestion,18.99,49.55,D,High,Poor
Nyanya–Mararaba,Jabi Park to Utako Market,PM,10.18,717.47,57.19,101.93,Traffic signal and Congestion,71.28,12.44,B,Low,Good
Lokogoma Road,Games Village to CBD,PM,0.65,63.62,37.44,5.94,Traffic signal and Congestion,44.36,8.54,A,Medium,Good
Aminu Kano Crescent,Durumi to Area 1,PM,3.19,2022.55,6.07,1002.4,Congestion,15.77,33.14,C,High,Poor
Kado Express,Area 3 to Area 1,AM,10.1,1761.87,22.73,968.26,Traffic signal and Congestion,35.68,35.47,D,High,Good
Moshood Abiola Way,Utako Market to Area 3,PM,13.49,848.15,56.51,43.52,Traffic signal and Congestion,71.97,4.88,A,Low,Fair
CBD Loop,Durumi to Area 1,AM,10.39,621.7,61.85,49.12,Congestion,65.08,7.32,A,Low,Good
Garki Area 7,Area 11 to Area 3,PM,8.09,844.59,34.51,404.55,Traffic signal and Congestion,38.64,32.39,C,Medium,Good
Zuba Link,Berger to Central Area,AM,1.47,274.98,18.68,39.84,Market activity,26.13,12.65,B,Medium,Fair
Kado Road,Area 11 to Area 3,PM,4.27,634.47,26.37,191.52,Traffic signal and Congestion,38.58,23.19,C,Medium,Poor
Apo Road,Jabi Park to Utako Market,PM,1.61,1063,5.35,1472.22,Congestion,22.04,58.07,E,High,Poor
Central District,Zuba to Dei-Dei,PM,12.44,1799.51,28.29,766.82,Congestion,31.78,29.88,C,Medium,Good
Garki Area 8,Aco Estate to City Gate,AM,10.02,1052.39,33.36,407.31,Traffic signal and Congestion,46.29,27.9,C,Medium,Poor
Garki Area 11,Efab Estate to Apo,PM,6.35,1493.01,14.87,1136.73,Congestion,28.01,43.23,D,High,Poor
Maitama Drive,Wuse Zone 5 to Area 1,AM,3.14,2232.77,5.7,2286.7,Road works,16.24,50.6,D,High,Poor
Obasanjo Way,Transcorp Hilton to Minister’s Hill,AM,13.35,3076.73,17.19,3048.06,Road works,26.62,49.77,D,High,Fair
Lokogoma Road,Utako Market to Area 3,PM,8.33,1083.02,30.98,342.46,Congestion,38.61,24.02,C,Medium,Good
Maitama Drive,Wuse Market to NNPC Tower,PM,10.84,1024.9,42.42,67.73,Congestion,51.15,6.2,A,Low,Fair
Utako District,Wuse Market to NNPC Tower,PM,3.27,526.25,25.22,147.83,Road works,41.97,21.93,C,Medium,Poor
Moshood Abiola Way,Herbert Macaulay to Ship House,PM,11,677.06,59.49,7.8,Market activity,74.94,1.14,A,Low,Fair
Asokoro Road,Apo Roundabout to Gudu,AM,13.09,3063.89,15.82,201.48,Security stop,18.99,6.17,A,Medium,Poor
Garki II,ECOWAS to Aso Drive,AM,8.71,528.86,57.89,40.71,Traffic signal and Congestion,62.29,7.15,A,Low,Good
Lokogoma Road,Apo Roundabout to Gudu,AM,5.1,469.5,42.05,20.23,Congestion,50.03,4.13,A,Low,Fair
Garki Area 8,Wuye to Berger,PM,7.52,1265.48,24.22,444.28,Traffic signal and Congestion,32.42,25.98,C,Medium,Fair
Maitama Drive,Gudu to Lokogoma Junction,AM,1,170.5,23.8,92.52,Traffic signal and Congestion,30.25,35.18,D,Medium,Fair
Gwarimpa Road,Wuse Zone 5 to Area 1,PM,10.26,1536.17,26.07,305.47,Traffic signal and Congestion,43.96,16.59,B,Medium,Good
